State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2019,January,Monthly,Number of Live Births,311000
UNITED STATES,2019,February,Monthly,Number of Live Births,280000
UNITED STATES,2019,March,Monthly,Number of Live Births,304000
UNITED STATES,2019,April,Monthly,Number of Live Births,299000
UNITED STATES,2019,May,Monthly,Number of Live Births,316000
UNITED STATES,2019,June,Monthly,Number of Live Births,304000
UNITED STATES,2019,July,Monthly,Number of Live Births,334000
UNITED STATES,2019,August,Monthly,Number of Live Births,342000
UNITED STATES,2019,September,Monthly,Number of Live Births,326000
UNITED STATES,2019,October,Monthly,Number of Live Births,325000
UNITED STATES,2019,November,Monthly,Number of Live Births,298000
UNITED STATES,2019,December,Monthly,Number of Live Births,309000
UNITED STATES,2020,January,Monthly,Number of Live Births,305000
UNITED STATES,2020,February,Monthly,Number of Live Births,282000
UNITED STATES,2020,March,Monthly,Number of Live Births,301000
UNITED STATES,2020,April,Monthly,Number of Live Births,290000
UNITED STATES,2020,May,Monthly,Number of Live Births,300000
UNITED STATES,2020,June,Monthly,Number of Live Births,300000
UNITED STATES,2019,January,Monthly,Number of Deaths,258000
UNITED STATES,2019,February,Monthly,Number of Deaths,233000
UNITED STATES,2019,March,Monthly,Number of Deaths,255000
UNITED STATES,2019,April,Monthly,Number of Deaths,235000
UNITED STATES,2019,May,Monthly,Number of Deaths,237000
UNITED STATES,2019,June,Monthly,Number of Deaths,225000
UNITED STATES,2019,July,Monthly,Number of Deaths,229000
UNITED STATES,2019,August,Monthly,Number of Deaths,227000
UNITED STATES,2019,September,Monthly,Number of Deaths,223000
UNITED STATES,2019,October,Monthly,Number of Deaths,238000
UNITED STATES,2019,November,Monthly,Number of Deaths,239000
UNITED STATES,2019,December,Monthly,Number of Deaths,256000
UNITED STATES,2020,January,Monthly,Number of Deaths,264000
UNITED STATES,2020,February,Monthly,Number of Deaths,244000
UNITED STATES,2020,March,Monthly,Number of Deaths,269000
UNITED STATES,2020,April,Monthly,Number of Deaths,321000
UNITED STATES,2020,May,Monthly,Number of Deaths,279000
UNITED STATES,2020,June,Monthly,Number of Deaths,249000
UNITED STATES,2019,January,Monthly,Number of Infant Deaths,1700
UNITED STATES,2019,February,Monthly,Number of Infant Deaths,1600
